refind,label,description,class,notes
3055,lires,pounds from the vessel used to build the villa,mss,
3056,strata,road to the villa,loc,
3057,veziris,vizier,hum,
3058,vezirena,wife of vizier,hum,
3059,they,"the king, the queen, the vizier and his wife",hum,
3060,trapezha,tables in the villa,inm,
3061,pinn'an,drink,inm,
3062,spitin,other house,loc,
3063,ghamon,wedding,inm,
3065,we,people from the village,hum,depicted reality
3066,father,of 3002,hum,depicted reality
3067,work,that the father did,inm,depicted reality
3068,nets,to go fishing,inm,depicted reality
3069,skylight,place where the nets are,loc,depicted reality
3070,morning,the son goes fishing early in the morning,tme,
3071,many,fish for his mother to cook and eat,mss,
3072,punga,son's pocket,inm,depicted reality
3073,morning,,tme,depicted reality
3074,wine,,mss,depicted reality
3075,tablecloth,,inm,depicted reality
3076,house,of the old woman,loc,
3077,neron,,mss,depicted reality
3078,it,the water in his vessel,mss,
3079,lires,the coins from the vessel,mss,depicted reality
3080,them,the coins from the vessel,mss,depicted reality
3081,queen,mother of girl,hum,depicted reality
3082,lires,punds,mss,depicted reality
3083,us,,hum,depicted reality
3084,nights,three nights,tme,depicted reality
3085,nights,three nights,tme,
3086,we,the girl and the son,hum,depicted reality
3087,cabriolet,,inm,depicted reality
3088,dozen,,hum,depicted reality
3089,we,,hum,depicted reality
3090,babies,two babies,hum,depicted reality
3091,box,,inm,depicted reality
3092,news,from the village,abs,depicted reality
3093,party,,inm,depicted reality
3094,tablecloths,,inm,depicted reality
3095,one,one of the visitors,hum,depicted reality
3096,we,,hum,depicted reality
3097,kolon,ass,bdp,depicted reality
