ID,Name,Description,Contributor,Citation,Text_Number,Media_IDs,Clause_Count,Speaker,Speaker_Gender,Speaker_Age,Speaker_Age_Approximated,Speaker_Year_Born,Speaker_Year_Born_Approximated,Type,Year_Recorded,Recording_Length,Source
jitros,jitros,,Harris Hadjidas and Maria Vollmer,"Hadjidas, Harris & Vollmer, Maria. 2019. Multi-CAST Cypriot Greek. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 1905. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#cypgreek) (date accessed)",1,jitros_eaf jitros_xml jitros_tsv,113,CG01,female,73,no,1887,no,TN,1960,0,giangoullis2009
minaes,minaes,,Harris Hadjidas and Maria Vollmer,"Hadjidas, Harris & Vollmer, Maria. 2019. Multi-CAST Cypriot Greek. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 1905. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#cypgreek) (date accessed)",2,minaes_eaf minaes_xml minaes_tsv,171,CG01,female,73,no,1887,no,TN,1960,0,giangoullis2009
psarin,psarin,,Harris Hadjidas and Maria Vollmer,"Hadjidas, Harris & Vollmer, Maria. 2019. Multi-CAST Cypriot Greek. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 1905. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#cypgreek) (date accessed)",3,psarin_eaf psarin_xml psarin_tsv,178,CG01,female,77,no,1887,no,TN,1964,0,giangoullis2009
