ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Affiliation,Areas,Varieties
mccypgreek,Cypriot Greek,Eurasia,34.924591,32.978113,cypr1249,,"Indo-European, Greek, Attic",Cyprus,Yeri-Pyroi
en,English,,,,stan1293,,,,
